Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Ever having asthma,Total,10.5,"9.8 ,11.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Male,12.5,"11.3,13.7","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Female,8.5,"7.6 ,9.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,0-4 years,3.2,"2.4 ,4.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,5-11 years,11.9,"10.6,13.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,12-17 years,14.8,"13.3,16.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"White, single race",9.4,"8.6 ,10.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Black or African American, single race",17.5,"14.9,20.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"American Indian or Alaska Native, single race",999,,"Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Asian, single race",7,"4.7 ,10.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Black or African American and White,14.9,"10.0,20.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,American Indian or Alaska Native and White,999,,"Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Hispanic or Latino,10,"8.7 ,11.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Not Hispanic or Latino,10.7,"9.8 ,11.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Mexican or Mexican American,8.7,"7.2 ,10.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Not Hispanic or Latino, White, single race",9.3,"8.3 ,10.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Not Hispanic or Latino, Black or African American, single race",17.6,"14.9,20.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Other, non-Hispanic",9.3,"7.4 ,11.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Single parent, never married",16.3,"13.4,19.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Single parent, ever married",14.9,"12.5,17.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Married parents,8.9,"8.0 ,9.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Cohabiting parents,6.8,"4.6 ,9.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,At least one related or unrelated adult (not a parent),10.6,"7.4 ,14.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,No working parents,17.9,"14.8,21.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Single parent, working",12.9,"11.2,14.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Two parents, one working",9.8,"8.2 ,11.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,"Two parents, both working",8,"7.1 ,9.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
